Regression : FALSE
Max L : 296

TRAIN,DaeHanTwo,HyunTae,JaeIn,JinWoo,NaYoung,SongHa,SongHaTwo,TeaGyeong,TeaGyeongTwo,
TEST,DaeHan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예상,실제,성공/실패
358.935913,354.954102,0.159023,0.713871,353.796692,359.982513,352.503601,1.572430,79.267128,345.990906,8.339219,86.964684,353.375488,344.229889,282.221313,348.072998,340.190613,275.807892,4.356131,354.969208,354.757202,4.356131,354.969208,354.757202,1.365963,346.243805,359.153503,2.345921,355.065613,5.368178,2.345921,355.065613,5.368178,1.386564,349.339111,0.109043,2.900885,353.794800,359.921387,0,0,TRUE
358.935913,354.954102,0.159023,0.713871,353.796692,359.982513,352.503601,1.572430,79.267128,345.990906,8.339219,86.964684,353.375488,344.229889,282.221313,348.072998,340.190613,275.807892,4.356131,354.969208,354.757202,4.356131,354.969208,354.757202,1.365963,346.243805,359.153503,2.345921,355.065613,5.368178,2.345921,355.065613,5.368178,1.386564,349.339111,0.109043,2.900885,353.794800,359.921387,0,0,TRUE
358.934509,354.961395,0.156618,0.708691,353.802704,359.982208,352.487488,1.599773,79.256538,345.994202,8.344150,86.950783,353.376709,344.240692,282.213715,348.096497,340.231110,275.781311,4.367616,354.976288,354.755096,4.367616,354.976288,354.755096,1.358996,346.246307,359.149414,2.342406,355.072815,5.369760,2.342406,355.072815,5.369760,1.399063,349.435608,0.115380,2.888362,353.800903,359.923309,0,0,TRUE
358.932495,354.966705,0.154674,0.694666,353.810913,359.985291,352.471893,1.628804,79.247383,345.996704,8.351891,86.937134,353.377289,344.253204,282.206787,348.118988,340.272308,275.756195,4.378855,354.981506,354.752594,4.378855,354.981506,354.752594,1.351032,346.246399,359.144714,2.338901,355.077911,5.371388,2.338901,355.077911,5.371388,1.408031,349.505310,0.120517,2.859959,353.809296,359.933289,0,0,TRUE
358.932495,354.966705,0.154674,0.694666,353.810913,359.985291,352.471893,1.628804,79.247383,345.996704,8.351891,86.937134,353.377289,344.253204,282.206787,348.118988,340.272308,275.756195,4.378855,354.981506,354.752594,4.378855,354.981506,354.752594,1.351032,346.246399,359.144714,2.338901,355.077911,5.371388,2.338901,355.077911,5.371388,1.408031,349.505310,0.120517,2.859959,353.809296,359.933289,0,0,TRUE
358.929596,354.971100,0.152882,0.676644,353.821686,359.989807,352.458008,1.659036,79.238663,345.997986,8.363757,86.923431,353.376892,344.267212,282.201111,348.138885,340.312408,275.733795,4.390210,354.985687,354.750702,4.390210,354.985687,354.750702,1.342109,346.251312,359.141205,2.335809,355.082092,5.373156,2.335809,355.082092,5.373156,1.413584,349.630493,0.128536,2.826837,353.820313,359.945190,0,0,TRUE
358.924194,354.975006,0.151845,0.644570,353.837891,-0.001220,352.445892,1.693621,79.230171,345.997986,8.382924,86.908569,353.374115,344.284485,282.197296,348.154999,340.353302,275.714294,4.403919,354.989594,354.748108,4.403919,354.989594,354.748108,1.329514,346.250793,359.136108,2.332940,355.085999,5.374916,2.332940,355.085999,5.374916,1.417835,349.722687,0.134887,2.771729,353.837006,359.964996,0,0,TRUE
358.914398,354.978302,0.151856,0.601305,353.858398,0.011014,352.434387,1.732753,79.221733,345.997101,8.407539,86.893600,353.375885,344.312988,282.191010,348.157715,340.380188,275.706696,4.417583,354.992889,354.745514,4.417583,354.992889,354.745514,1.315902,346.249908,359.131012,2.330806,355.089203,5.376779,2.330806,355.089203,5.376779,1.421067,349.765503,0.138877,2.705454,353.858002,359.988312,0,0,TRUE
358.914398,354.978302,0.151856,0.601305,353.858398,0.011014,352.434387,1.732753,79.221733,345.997101,8.407539,86.893600,353.375885,344.312988,282.191010,348.157715,340.380188,275.706696,4.417583,354.992889,354.745514,4.417583,354.992889,354.745514,1.315902,346.249908,359.131012,2.330806,355.089203,5.376779,2.330806,355.089203,5.376779,1.421067,349.765503,0.138877,2.705454,353.858002,359.988312,0,0,TRUE
358.914398,354.978302,0.151856,0.601305,353.858398,0.011014,352.434387,1.732753,79.221733,345.997101,8.407539,86.893600,353.375885,344.312988,282.191010,348.157715,340.380188,275.706696,4.417583,354.992889,354.745514,4.417583,354.992889,354.745514,1.315902,346.249908,359.131012,2.330806,355.089203,5.376779,2.330806,355.089203,5.376779,1.421067,349.765503,0.138877,2.705454,353.858002,359.988312,0,0,TRUE
